Community1,Community2
HUMBOLDT PARK,EAST GARFIELD PARK
WEST TOWN,EAST GARFIELD PARK
WEST TOWN,NEAR WEST SIDE
WEST TOWN,NEAR NORTH SIDE
WEST TOWN,LINCOLN PARK
AUSTIN,WEST GARFIELD PARK
AUSTIN,NORTH LAWNDALE
WEST GARFIELD PARK,EAST GARFIELD PARK
WEST GARFIELD PARK,NORTH LAWNDALE
EAST GARFIELD PARK,NEAR WEST SIDE
EAST GARFIELD PARK,NORTH LAWNDALE
NEAR WEST SIDE,NORTH LAWNDALE
NEAR WEST SIDE,LOWER WEST SIDE
NEAR WEST SIDE,NEAR SOUTH SIDE
NEAR WEST SIDE,ARMOUR SQUARE
NEAR WEST SIDE,NEAR NORTH SIDE
NEAR WEST SIDE,LOOP
NORTH LAWNDALE,SOUTH LAWNDALE
NORTH LAWNDALE,LOWER WEST SIDE
UPTOWN,LAKE VIEW
UPTOWN,NORTH CENTER
UPTOWN,EDGEWATER
SOUTH LAWNDALE,LOWER WEST SIDE
SOUTH LAWNDALE,MCKINLEY PARK
SOUTH LAWNDALE,GARFIELD RIDGE
SOUTH LAWNDALE,ARCHER HEIGHTS
SOUTH LAWNDALE,BRIGHTON PARK
LOWER WEST SIDE,NEAR SOUTH SIDE
LOWER WEST SIDE,ARMOUR SQUARE
LOWER WEST SIDE,MCKINLEY PARK
LOWER WEST SIDE,BRIGHTON PARK
LOWER WEST SIDE,BRIDGEPORT
NEAR SOUTH SIDE,ARMOUR SQUARE
NEAR SOUTH SIDE,LOOP
ARMOUR SQUARE,BRIDGEPORT
NORWOOD PARK,OHARE
NORWOOD PARK,EDISON PARK
NEAR NORTH SIDE,LOOP
NEAR NORTH SIDE,LINCOLN PARK
SOUTH SHORE,AVALON PARK
SOUTH SHORE,SOUTH CHICAGO
SOUTH SHORE,GREATER GRAND CROSSING
CHATHAM,AVALON PARK
CHATHAM,BURNSIDE
CHATHAM,CALUMET HEIGHTS
CHATHAM,ROSELAND
CHATHAM,GREATER GRAND CROSSING
CHATHAM,AUBURN GRESHAM
AVALON PARK,SOUTH CHICAGO
AVALON PARK,BURNSIDE
AVALON PARK,CALUMET HEIGHTS
AVALON PARK,GREATER GRAND CROSSING
SOUTH CHICAGO,CALUMET HEIGHTS
SOUTH CHICAGO,SOUTH DEERING
SOUTH CHICAGO,EAST SIDE
BURNSIDE,CALUMET HEIGHTS
BURNSIDE,ROSELAND
BURNSIDE,PULLMAN
BURNSIDE,SOUTH DEERING
MCKINLEY PARK,BRIGHTON PARK
MCKINLEY PARK,BRIDGEPORT
MCKINLEY PARK,NEW CITY
LAKE VIEW,NORTH CENTER
LAKE VIEW,LINCOLN PARK
CALUMET HEIGHTS,SOUTH DEERING
ROSELAND,PULLMAN
ROSELAND,WEST PULLMAN
ROSELAND,RIVERDALE
ROSELAND,AUBURN GRESHAM
ROSELAND,WASHINGTON HEIGHTS
ROSELAND,MORGAN PARK
NORTH CENTER,LINCOLN PARK
PULLMAN,SOUTH DEERING
PULLMAN,RIVERDALE
SOUTH DEERING,EAST SIDE
SOUTH DEERING,RIVERDALE
SOUTH DEERING,HEGEWISCH
EAST SIDE,HEGEWISCH
WEST PULLMAN,RIVERDALE
WEST PULLMAN,MORGAN PARK
RIVERDALE,HEGEWISCH
GARFIELD RIDGE,ARCHER HEIGHTS
GARFIELD RIDGE,WEST ELSDON
GARFIELD RIDGE,CLEARING
GARFIELD RIDGE,WEST LAWN
ARCHER HEIGHTS,BRIGHTON PARK
ARCHER HEIGHTS,WEST ELSDON
BRIGHTON PARK,NEW CITY
BRIGHTON PARK,WEST ELSDON
BRIGHTON PARK,GAGE PARK
BRIDGEPORT,NEW CITY
NEW CITY,GAGE PARK
NEW CITY,WEST ENGLEWOOD
NEW CITY,ENGLEWOOD
WEST ELSDON,GAGE PARK
WEST ELSDON,CLEARING
WEST ELSDON,WEST LAWN
GAGE PARK,WEST LAWN
GAGE PARK,CHICAGO LAWN
GAGE PARK,WEST ENGLEWOOD
CLEARING,WEST LAWN
WEST LAWN,CHICAGO LAWN
WEST LAWN,ASHBURN
CHICAGO LAWN,WEST ENGLEWOOD
CHICAGO LAWN,ASHBURN
CHICAGO LAWN,AUBURN GRESHAM
WEST ENGLEWOOD,ENGLEWOOD
WEST ENGLEWOOD,AUBURN GRESHAM
ENGLEWOOD,GREATER GRAND CROSSING
ENGLEWOOD,AUBURN GRESHAM
GREATER GRAND CROSSING,AUBURN GRESHAM
ASHBURN,AUBURN GRESHAM
ASHBURN,BEVERLY
AUBURN GRESHAM,BEVERLY
AUBURN GRESHAM,WASHINGTON HEIGHTS
BEVERLY,WASHINGTON HEIGHTS
BEVERLY,MOUNT GREENWOOD
BEVERLY,MORGAN PARK
WASHINGTON HEIGHTS,MORGAN PARK
MOUNT GREENWOOD,MORGAN PARK
